,City_ID,city,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
279,1062663,Mahajanga,20,MG,1603844056,78,-15.72,46.32,71.6,2.24
280,3382160,Cayenne,0,GF,1603844057,78,4.93,-52.33,82.4,4.7
281,6049403,Langham,90,CA,1603844057,57,52.37,-106.97,50.0,14.99
282,5905616,Bonnyville,75,CA,1603844057,65,54.27,-110.73,44.6,16.11
283,2654728,Bridlington,32,GB,1603844057,82,54.08,-0.19,45.0,15.01
284,1488414,Urengoy,0,RU,1603843921,89,65.97,78.37,-1.01,10.18
285,3470137,Belmonte,40,BR,1603843903,78,-15.86,-38.88,78.8,9.17
286,1496511,Novy Urengoy,0,RU,1603844058,89,66.08,76.63,-1.89,9.1
287,3934707,Mollendo,78,PE,1603844058,78,-17.02,-72.01,62.42,6.33
288,2338660,Yaan,5,NG,1603844059,80,7.38,8.57,75.61,4.25
289,2032614,Baruun-Urt,0,MN,1603844059,76,46.68,113.28,27.45,6.96
290,337405,Gambēla,47,ET,1603844059,78,8.25,34.58,70.74,3.42
291,2028462,Ulaanbaatar,0,MN,1603843988,85,47.91,106.88,10.4,2.24
292,3670199,San Antero,21,CO,1603844060,83,9.37,-75.76,80.17,6.33
293,2036033,Liuhe,0,CN,1603844060,63,42.24,125.72,38.35,4.97
294,2109701,Auki,57,SB,1603844060,63,-8.77,160.7,87.3,3.33
295,2138555,Poum,74,NC,1603844061,73,-20.23,164.02,77.27,13.11
296,2112309,Katsuura,75,JP,1603844061,72,35.13,140.3,64.99,5.82
297,779350,Karasjok,100,NO,1603844061,93,69.47,25.51,32.0,14.99
298,5392126,San Joaquin,1,US,1603844061,20,37.93,-121.3,73.4,6.93
299,5972291,Havre-St-Pierre,1,CA,1603844061,86,50.23,-63.6,30.2,5.82
300,529368,Marfino,0,RU,1603844062,86,55.7,37.38,46.0,6.71
301,108410,Riyadh,0,SA,1603844062,36,24.69,46.72,62.6,2.55
302,3357804,Eenhana,91,NA,1603844062,16,-17.47,16.33,84.2,6.93
303,2063042,Port Hedland,40,AU,1603843885,69,-20.32,118.57,78.8,2.24
304,4031742,Egvekinot,99,RU,1603844062,92,66.32,-179.17,19.29,3.15
305,5364271,Laguna,1,US,1603843851,18,38.42,-121.42,75.99,3.36
306,286987,Nizwá,2,OM,1603844063,60,22.93,57.53,63.18,1.95
307,2294915,Takoradze,100,GH,1603844063,87,4.88,-1.76,78.04,8.03
308,6355222,Yulara,0,AU,1603843886,17,-25.24,130.99,75.2,6.93
309,3985710,Cabo San Lucas,40,MX,1603844063,57,22.89,-109.91,80.6,9.17
310,3705652,Loma Bonita,59,PA,1603844064,99,8.38,-80.17,84.0,0.83
311,5787423,Black Diamond,81,US,1603844064,69,47.31,-122.0,57.0,1.43
312,3451234,Rio Claro,0,BR,1603843655,50,-22.41,-47.56,78.8,5.82
313,1529376,Korla,0,CN,1603844065,93,41.76,86.15,39.0,4.61
314,2122389,Ossora,78,RU,1603844065,83,59.24,163.07,34.95,6.91
315,964420,Port Elizabeth,0,ZA,1603844065,82,-33.92,25.57,62.6,19.46
316,2084442,Vanimo,91,PG,1603844065,66,-2.67,141.3,85.53,2.24
317,3933104,Pangoa,100,PE,1603844065,95,-12.12,-73.0,70.68,1.57
318,2127060,Arman',0,RU,1603844066,76,59.7,150.17,32.76,4.59
319,1688696,San Policarpo,39,PH,1603844066,73,12.18,125.51,83.19,2.44
320,5110365,Broome,90,US,1603844066,75,42.25,-75.83,46.99,3.06
321,2018735,Nyurba,100,RU,1603843878,87,63.28,118.33,11.53,3.87
322,5866583,Saint Paul Harbor,40,US,1603843912,68,57.79,-152.41,46.4,6.93
323,4034496,Fare,76,PF,1603844067,81,-16.7,-151.02,80.42,18.97
324,2134814,Sola,35,VU,1603843902,77,-13.88,167.55,80.15,17.85
325,2641598,Newport,1,GB,1603843774,94,51.59,-3.0,48.0,1.99
326,3939123,Huasahuasi,97,PE,1603844067,90,-11.32,-75.62,43.97,2.98
327,2501152,Constantine,40,DZ,1603843946,87,36.37,6.61,48.2,2.24
328,2332453,Lagos,89,NG,1603844068,90,6.58,3.75,77.11,2.84
329,4417205,Bay Saint Louis,90,US,1603844068,88,30.31,-89.33,80.6,9.17
330,3938451,Ilave,48,PE,1603844068,34,-16.08,-69.67,53.46,12.26
331,2441526,Madarounfa,0,NE,1603844068,17,13.31,7.16,79.34,7.72
332,2063036,Port Lincoln,0,AU,1603843826,62,-34.73,135.87,62.29,7.25
333,203717,Yangambi,100,CD,1603844069,97,0.81,24.43,71.35,0.6
334,1150965,Ranong,99,TH,1603844069,83,9.97,98.63,79.29,6.29
335,2015306,Tiksi,27,RU,1603844069,90,71.69,128.87,-2.78,12.59
